churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls
No,0.7299544047615921,no,yes,1.6598278043636276,1.6222406294421234,0.5132265557283343,1.622521116192871,-0.06788604442768228,-0.06385445003835126,-0.06819823573430144,0.9101302813511509,-0.46126519729394616,0.909378458062437,-0.11628905087922337,-0.5281419055417875,-0.11701977676934071,-0.20560904475537947
No,0.18868803422719738,no,yes,1.6642407944422528,-0.3581606402090348,1.1922081995112397,-0.3584516126270717,-0.1070022935217058,0.14349885419399458,-0.106921930896157,1.1096069696016784,0.1658088219115999,1.1104531244078906,1.3358523202079373,-0.5281419055417875,1.3366781631712885,-0.20560904475537947
No,0.9619257064191898,no,no,-0.5993393957096778,1.2070260637278225,0.7221439845846129,1.207192174752781,-1.6366535080932527,0.5063671366005998,-1.6365078897894503,-0.7782239563156812,0.21806499017872874,-0.7769068119710283,0.7471463589563856,0.4457147213434023,0.7406620077956303,-1.519859119096412
No,-0.4041275144533302,yes,no,-0.5993393957096778,2.2785475236356945,-1.523718375620382,2.278718332614477,0.006228953855730374,-0.6340760366773024,0.0068289236417933335,-0.07285793497618832,-0.5657775338282038,-0.07314547976194008,-1.4506892297160743,1.1607777542949145,-1.4544218815147198,0.8028505062398488
No,-0.636098816110928,yes,no,-0.5993393957096778,-0.2605756501102822,0.6699146273705433,-0.260528528872904,-1.0787322710153397,1.1284270492976374,-1.0774345408901613,-0.2785040053375564,1.106419850719919,-0.2787900248879721,-0.07704198679578672,-0.5281419055417875,-0.07340883857112211,1.6530212347275561
No,0.47220851403092795,yes,no,-0.5993393957096778,0.8243398280464392,-0.11352573084050144,0.824504261230746,0.40974394450986645,0.03982220207782167,0.4085872609460444,0.07109431427676936,0.9496513459185325,0.07309064121657197,-1.5684304219663845,0.8266150930203835,-1.5707177167099702,-1.519859119096412
No,0.5495322812501272,no,yes,1.6550435393486518,0.7248414067692793,-0.6358193029811979,0.7243300721029201,0.006228953855730374,0.4026904844844269,0.0068289236417933335,0.2500063954911594,0.9496513459185325,0.25131591365913364,-1.097465652965143,1.1607777542949145,-1.0909973965295627,1.6530212347275561
No,1.219671597149854,yes,no,-0.5993393957096778,-0.4461784744157528,-1.1058835179078248,-0.44624472219977346,-2.0092872494626337,-0.32304608032878357,-2.00922345572231,0.2335547098622503,-0.19998435595830197,0.2330363985368192,-1.2544539092988902,0.8266150930203835,-1.2509041699230319,-1.519859119096412
No,0.44643392495786155,no,no,-0.5993393957096778,0.08001509964614897,-0.1657550880545711,0.08051393523643852,0.006228953855730374,-1.0487826451419942,0.0068289236417933335,0.31581313800679756,-0.513521365561075,0.31529421658723283,-0.6265008839639018,0.002512197112304822,-0.6258140557485611,-0.20560904475537947
No,1.0650240627114556,yes,yes,1.6967670136074162,1.4978676028456739,-0.8447367318374766,1.4975847679547951,0.43856644384230486,0.5582054626586863,0.4376300323174363,2.5902586762035282,-0.14772818769117313,2.5910938493153237,0.35467571812201776,0.4457147213434023,0.34816356401166043,-1.519859119096412
