churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls
No,0.6988715913818464,no,yes,1.2730178064175766,1.5736445570307531,0.5027734730928949,1.5739165995512538,-0.06402524615290862,-0.06007112956697736,-0.06384268189168792,0.8769111146739116,-0.4468831296482382,0.8761987513536955,-0.09479988638052655,-0.5841773484629494,-0.0954992501225651,-0.43663197344929044
No,0.16983183783592676,no,yes,1.3468381932250535,-0.3467669416136811,1.1583062544909684,-0.34704695053220236,-0.10161082086511136,0.14167909567895795,-0.10107932023155913,1.068884682932037,0.1543588601915295,1.069710593432987,1.245102243682697,-0.5841773484629494,1.2458577098550412,-0.43663197344929044
No,0.9256029143300976,no,no,-0.5724918637693445,1.1710075568318716,0.7044758673692252,1.1711691279712568,-1.5714046109265083,0.49474198985934476,-1.5719265346564708,-0.7479373341912507,0.2044623593448435,-0.7466619242658181,0.7018986774408495,0.22989364995253192,0.6959013562642224,-1.2021157978695052
No,-0.40959265414293755,yes,no,-0.5724918637693445,2.2100707831515645,-1.4638248711013253,2.2102357755163986,-2.7444701795757793,-0.6148842489932994,-2.7448806423624132,-0.06910296395891105,-0.5470901279548661,-0.0693704769882978,-1.3260613031953812,1.0439646483680132,-1.329547653301963,0.3288518509709242
No,-0.6363239770911888,yes,no,-0.5724918637693445,-0.2521379692167091,0.6540502688001426,-0.25209022959057686,-1.035315624241934,1.0999926655971506,-1.034322568624581,-0.2670138590703803,1.056221844951181,-0.26728031547848213,-0.05858631529773685,-0.5841773484629494,-0.05525854132323718,1.0943356753911389
No,0.44694789921712275,yes,no,-0.5724918637693445,0.799913547431981,-0.10233370973609594,0.800073896705134,0.3949144029645126,0.04080398305599029,0.39463342766797577,0.0694346626191174,0.9059113474912391,0.07136540816027803,-1.4347020164437505,0.6369291491602725,-1.4368562101001716,-1.2021157978695052
No,0.5225250068665398,no,yes,1.1991974196100996,0.7034291049880091,-0.6065896954269216,0.7029342626384144,2.925017037538573,0.3938668772363771,2.924397544882974,0.2416171413660954,0.9059113474912391,0.24288726818510495,-1.0001391634502725,1.0439646483680132,-0.9942084133075618,1.0943356753911389
No,1.1775266064948213,yes,no,-0.5724918637693445,-0.43211856377565583,-1.0604200825486647,-0.4321805624109007,-1.9294566647638072,-0.3122589111243965,-1.9303291786777312,0.22578426975717822,-0.1963656338816683,0.22529528254153258,-1.1449934477814319,0.6369291491602725,-1.1417576789050983,-1.2021157978695052
No,0.42175553000065036,no,no,-0.5724918637693445,0.07813569914919373,-0.1527593083051785,0.07862110886129096,2.986340869963746,-1.0183846994851702,2.987234372081507,0.3049486278017659,-0.49698662880155214,0.30445921793760705,-0.5655763104567947,-0.17714184925520876,-0.5649741861147274,-0.43663197344929044
No,1.026372391195987,yes,yes,2.158862448107299,1.4530390039757888,-0.808292089703252,1.4527649211084903,0.42260903696297775,0.5451795461708285,0.42256090642287936,2.493843127734615,-0.14626213472835434,2.4946614305623163,0.33976296661295124,0.22989364995253192,0.33373497707026867,-1.2021157978695052
